searge,name,side,desc
func_150926_b,getRecord,0,Return the record item corresponding to the given name.
func_150927_i,getRecordNameLocal,0,
func_150930_a,validBookPageTagContents,0,this method returns true if the book's NBT Tag List ""pages"" is valid
func_94602_b,getBackgroundIcon,0,"Return the background icon of the Slot used to hold the armor item stack. Args : armorId (0 : helmet, 1 : chestplace, 2 : leggings, 3 : boots : other : null)"
func_82814_b,getColor,0,Return the color for the specified armor ItemStack.
func_82813_b,setColor,0,Sets the color of the specified armor ItemStack
func_82815_c,removeColor,0,Remove the color from the specified armor ItemStack.
func_82816_b_,hasColor,0,Return whether the specified armor ItemStack has a color.
func_82812_d,getArmorMaterial,0,Return the armor material for this armor item.
func_94589_d,getPotionSprite,0,
func_77834_f,getEffects,0,Returns a list of effects for the specified potion damage value.
func_77831_g,isSplash,0,returns wether or not a potion is a throwable splash potion based on damage value
func_77832_l,getEffects,0,Returns a list of potion effects for the specified itemstack.
func_77620_a,getColorFromDamage,0,
func_77833_h,isEffectInstant,0,
func_94597_g,getFishingRodSprite,0,
func_150946_a,combineSlabs,0,
func_78045_a,getEnchantability,0,Return the enchantability factor of the material.
func_78046_a,getDurability,0,Returns the durability for a armor slot of for this type.
func_151685_b,getBaseItemForRepair,0,Get a main crafting component of this Armor Material (example is Items.iron_ingot)
func_78044_b,getDamageReductionAmount,0,"Return the damage reduction (each 1 point is a half a shield on gui) of the piece index passed (0 = helmet, 1 = plate, 2 = legs and 3 = boots)"
func_150911_c,createMapDataPacket,0,
func_77840_a,spawnCreature,0,"Spawns the creature specified by the egg's type in the location specified by the last three parameters. Parameters: world, entityID, x, y, z."
func_94599_c,getItemIconForUseDuration,0,"used to cycle through icons based on their used duration, i.e. for the bow"
func_150910_a,fillBucket,0,
func_77875_a,tryPlaceContainedLiquid,0,Attempts to place the liquid contained inside the bucket.
func_77842_f,getToolMaterialName,0,Returns the name of the material this tool is made from as it is declared in Item.ToolMaterial (meaning diamond would return ""EMERALD"")
func_77828_a,validBookTagContents,0,
func_77570_a,getRecipeSize,0,Returns the size of the recipe area
func_77572_b,getCraftingResult,0,Returns an Item that is the result of this recipe
func_77569_a,matches,0,Used to check if a recipe matches current crafting inventory
func_77571_b,getRecipeOutput,0,"Get the result of this recipe, usually for display purposes (e.g. recipe book). If your recipe has more than one possible result (e.g. it's dynamic and depends on its inputs), then return an empty stack."
func_77607_a,addRecipes,0,Adds the dye recipes to the CraftingManager.
func_77586_a,addRecipes,0,Adds the tool recipes to the CraftingManager.
func_77609_a,addRecipes,0,Adds the armor recipes to the CraftingManager.
func_77594_a,getInstance,0,Returns the static instance of this class
func_82787_a,findMatchingRecipe,0,Retrieves an ItemStack that has multiple recipes for it.
func_92103_a,addRecipe,0,Adds a shaped recipe to the games recipe list.
func_77592_b,getRecipeList,0,returns the List<> of all recipes
func_77596_b,addShapelessRecipe,0,Adds a shapeless crafting recipe to the the game.
func_77602_a,smelting,0,Used to call methods addSmelting and getSmeltingResult.
func_151396_a,addSmelting,0,Adds a smelting recipe using an Item as the input item.
func_151395_a,getSmeltingResult,0,Returns the smelting result of an item.
func_151397_a,compareItemStacks,0,Compares two itemstacks to ensure that they are the same. This checks both the item and the metadata of the item.
func_151394_a,addSmeltingRecipe,0,Adds a smelting recipe using an ItemStack as the input for the recipe.
func_151393_a,addSmeltingRecipeForBlock,0,"Adds a smelting recipe, where the input item is an instance of Block."
func_77599_b,getSmeltingList,0,
func_151398_b,getSmeltingExperience,0,
func_77583_a,addRecipes,0,Adds the weapon recipes to the CraftingManager.
func_77608_a,addRecipes,0,Adds the food recipes to the CraftingManager.
func_77589_a,addRecipes,0,Adds the crafting recipes to the CraftingManager.
func_77590_a,addRecipes,0,Adds the ingot recipes to the CraftingManager.
func_77573_a,checkMatch,0,Checks if the region of a crafting inventory is match for the recipe.
func_92100_c,setCopyNbt,0,
func_82839_y,isOnItemFrame,0,Return whether this stack is on an item frame.
func_82836_z,getItemFrame,0,Return the item frame this stack is on. Returns null if not on an item frame.
func_82838_A,getRepairCost,0,"Get this stack's repair cost, or 0 if no repair cost is defined."
func_111283_C,getAttributeModifiers,0,Gets the attribute modifiers for this ItemStack.\nWill check for an NBT tag list containing modifiers for the stack.
func_151000_E,getChatComponent,0,Get a ChatComponent for this Item's display name that shows this Item on hover
func_77977_a,getUnlocalizedName,0,
func_77979_a,splitStack,0,Remove the argument from the stack size. Return a new stack object with argument size.
func_96631_a,attemptDamageItem,0,"Attempts to damage the ItemStack with par1 amount of damage, If the ItemStack has the Unbreaking enchantment there is a chance for each point of damage to be negated. Returns true if it takes more damage than getMaxDamage(). Returns false otherwise or if the ItemStack can't be damaged or if all points of damage are negated."
func_77972_a,damageItem,0,Damages the item in the ItemStack
func_150996_a,setItem,0,
func_77969_a,isItemEqual,0,compares ItemStack argument to the instance ItemStack; returns true if the Items contained in both ItemStacks are equal
func_77970_a,areItemStackTagsEqual,0,
func_77966_a,addEnchantment,0,Adds an enchantment with a desired level on the ItemStack.
func_150999_a,onBlockDestroyed,0,
func_77945_a,updateAnimation,0,Called each tick as long the ItemStack in on player inventory. Used to progress the pickup animation and update maps.
func_77957_a,useItemRightClick,0,"Called whenever this item stack is equipped and right clicked. Returns the new item stack to put in the position where this item is. Args: world, player"
func_77980_a,onCrafting,0,
func_150997_a,getStrVsBlock,0,
func_77949_a,loadItemStackFromNBT,0,
func_77983_a,setTagInfo,0,
func_82842_a,setItemFrame,0,Set the item frame this stack is on.
func_77961_a,hitEntity,0,Calls the corresponding fct in di
func_77943_a,tryPlaceItemIntoWorld,0,
func_111282_a,interactWithEntity,0,
func_82840_a,getTooltip,0,Return a list of strings containing information about the item
func_77973_b,getItem,0,Returns the object corresponding to the stack.
func_77964_b,setItemDamage,0,Sets the item damage of the ItemStack.
func_77944_b,copyItemStack,0,"Creates a copy of a ItemStack, a null parameters will return a null."
func_77989_b,areItemStacksEqual,0,compares ItemStack argument1 with ItemStack argument2; returns true if both ItemStacks are equal
func_77950_b,onFoodEaten,0,"Called when the item in use count reach 0, e.g. item food eaten. Return the new ItemStack. Args : world, entity"
func_77974_b,onPlayerStoppedUsing,0,"Called when the player releases the use item button. Args: world, entityplayer, itemInUseCount"
func_150998_b,canItemHarvestBlock,0,Check whether the given Block can be harvested using this ItemStack.
func_77955_b,writeToNBT,0,Write the stack fields to a NBT object. Return the new NBT object.
func_77954_c,getIconIndex,0,Returns the icon index of the current stack.
func_82841_c,setRepairCost,0,Set this stack's repair cost.
func_77963_c,readFromNBT,0,Read the stack fields from a NBT object.
func_151001_c,setStackDisplayName,0,
func_94608_d,getItemSpriteNumber,0,
func_77959_d,isItemStackEqual,0,compares ItemStack argument to the instance ItemStack; returns true if both ItemStacks are equal
func_77982_d,setTagCompound,0,"Assigns a NBTTagCompound to the ItemStack, minecraft validates that only non-stackable items can have it."
func_77976_d,getMaxStackSize,0,Returns maximum size of the stack.
func_77985_e,isStackable,0,Returns true if the ItemStack can hold 2 or more units of the item.
func_77984_f,isItemStackDamageable,0,true if this itemStack is damageable
func_77981_g,getHasSubtypes,0,
func_77951_h,isItemDamaged,0,returns true when a damageable item is damaged
func_77952_i,getItemDamageForDisplay,0,"gets the damage of an itemstack, for displaying purposes"
func_77960_j,getItemDamage,0,gets the damage of an itemstack
func_77958_k,getMaxDamage,0,Returns the max damage an item in the stack can take.
func_77946_l,copy,0,Returns a new stack with the same properties.
func_77988_m,getMaxItemUseDuration,0,
func_77975_n,getItemUseAction,0,
func_77942_o,hasTagCompound,0,Returns true if the ItemStack has an NBTTagCompound. Currently used to store enchantments.
func_77978_p,getTagCompound,0,Returns the NBTTagCompound of the ItemStack.
func_77986_q,getEnchantmentTagList,0,
func_82833_r,getDisplayName,0,returns the display name of the itemstack
func_135074_t,clearCustomName,0,Clear any custom name set for this ItemStack
func_82837_s,hasDisplayName,0,Returns true if the itemstack has a display name
func_77962_s,hasEffect,0,
func_77953_t,getRarity,0,
func_77956_u,isItemEnchantable,0,True if it is a tool and has no enchantments to begin with
func_77948_v,isItemEnchanted,0,True if the item has enchantment data
func_82835_x,canEditBlocks,0,Returns whether this stack is always allowed to edit the world. Forces {@link net.minecraft.entity.player.EntityPlayer#canPlayerEdit EntityPlayer#canPlayerEdit} to return {@code true}.\n\n@return whether this stack ignores other restrictions on how a player can modify the world.\n@see Item#canItemEditBlocks
func_150903_a,getExplosionTag,0,
func_150902_a,addExplosionInfo,0,
func_77997_a,getMaxUses,0,"The number of uses this material allows. (wood = 59, stone = 131, iron = 250, diamond = 1561, gold = 32)"
func_77998_b,getEfficiencyOnProperMaterial,0,The strength of this tool material against blocks which it is effective against.
func_78000_c,getDamageVsEntity,0,Damage versus entities.
func_77996_d,getHarvestLevel,0,"The level of material this tool can harvest (3 = DIAMOND, 2 = IRON, 1 = STONE, 0 = IRON/GOLD)"
func_77995_e,getEnchantability,0,Return the natural enchantability factor of the material.
func_150995_f,getBaseItemForRepair,0,
func_77844_a,setPotionEffect,0,"sets a potion effect on the item. Args: int potionId, int duration (will be multiplied by 20), int amplifier, float probability of effect happening"
func_77849_c,onFoodEaten,0,
func_150905_g,getHealAmount,0,
func_150906_h,getSaturationModifier,0,
func_77845_h,isWolfsFavoriteMeat,0,Whether wolves like this food (true for raw and cooked porkchop).
func_77848_i,setAlwaysEdible,0,"Set the field 'alwaysEdible' to true, and make the food edible even if the player don't need to eat."
func_150919_a,fertilize,0,
func_150918_a,spawnParticles,0,
func_92115_a,addEnchantment,0,Adds an stored enchantment to an enchanted book ItemStack
func_92113_a,getAll,0,
func_92111_a,getEnchantedItemStack,0,Returns the ItemStack of an enchanted version of this item.
func_92112_a,getRandom,0,
func_92114_b,getRandom,0,
func_92110_g,getEnchantments,0,
func_150924_a,placeDoorBlock,0,
func_150909_a,attachLead,0,
func_150931_i,getDamageVsEntity,0,Returns the amount of damage this item will deal. One heart of damage is equal to 2 damage points.
func_150932_j,getToolMaterialName,0,Return the name for this tool's material.
func_77658_a,getUnlocalizedName,0,Returns the unlocalized name of this item.
func_77647_b,getMetadata,0,Returns the metadata of the block which this Item (ItemBlock) can place
func_77618_c,getIconFromDamageForRenderPass,0,Gets an icon index based on an item's damage value and the given render pass
func_77637_a,setCreativeTab,0,returns this;
func_150895_a,getSubItems,0,"returns a list of items with the same ID, but different meta (eg: dye returns 16 items)"
func_77667_c,getUnlocalizedName,0,Returns the unlocalized name of this item. This version accepts an ItemStack so different stacks can have different names based on their damage or NBT.
func_82790_a,getColorFromItemStack,0,
func_82789_a,getIsRepairable,0,Return whether this item is repairable in an anvil.
func_150894_a,onBlockDestroyed,0,
func_77663_a,onUpdate,0,Called each tick as long the item is on a player inventory. Uses by maps to check if is on a player hand and update it's contents.
func_77659_a,onItemRightClick,0,"Called whenever this item is equipped and the right mouse button is pressed. Args: itemStack, world, entityPlayer"
func_77615_a,onPlayerStoppedUsing,0,"called when the player releases the use item button. Args: itemstack, world, entityplayer, itemInUseCount"
func_150893_a,getStrVsBlock,0,
func_77644_a,hitEntity,0,Current implementations of this method in child classes do not use the entry argument beside ev. They just raise the damage on the stack.
func_77648_a,onItemUse,0,"Callback for item usage. If the item does something special on right clicking, he will have one of those. Return True if something happen and false if it don't. This is for ITEMS, not BLOCKS"
func_77624_a,addInformation,0,allows items to add custom lines of information to the mouseover description
func_111207_a,itemInteractionForEntity,0,"Returns true if the item can be used on the given entity, e.g. shears on sheep."
func_77621_a,getMovingObjectPositionFromPlayer,0,Returns the HitResult for an item when the player's arm is swung while holding the item.\n@return HitResult
func_150898_a,getItemFromBlock,0,Returns a BlockItem from a block\n@return Block
func_94581_a,registerIcons,0,
func_77627_a,setHasSubtypes,0,Sets the current item as unbreakable.\n@return The current Item
func_77623_v,requiresMultipleRenderPasses,0,
func_150891_b,getIdFromItem,0,Returns a numeric id for an Item\n@return Numeric Id
func_77654_b,onEaten,0,"Called when the item in use count reach 0, e.g. item food eaten. Return the new ItemStack. Args : stack, world, entity"
func_150897_b,canItemHarvestBlock,0,Can this Item harvest passed block
func_77617_a,getIconFromDamage,0,Gets an icon index based on an item's damage value
func_77619_b,getItemEnchantability,0,"Return the enchantability factor of the item, most of the time is based on material."
func_77642_a,setContainerItem,0,Sets the item's recipe remainder\n@return The current Item
func_77655_b,setUnlocalizedName,0,"Sets the unlocalized name of this item to the string passed as the parameter, prefixed by ""item."""
func_94901_k,getSpriteNumber,0,"Returns 0 for /terrain.png, 1 for /gui/items.png"
func_150899_d,getItemById,0,Returns an Item for its numeric Id\n@return Item
func_77661_b,getItemUseAction,0,returns the action that specifies what animation to play when the items is being used
func_77622_d,onCreated,0,Called when item is crafted/smelted. Used only by maps so far.
func_77626_a,getMaxItemUseDuration,0,How long it takes to use or consume an item
func_77625_d,setMaxStackSize,0,Sets the max stack size of the Item\n@return The current Item
func_77636_d,hasEffect,0,"Returns true if this item has an enchantment glint. By default, this returns <code>stack.isItemEnchanted()</code>, but other items can override it (for instance, written books always return true).\n \nNote that if you override this method, you generally want to also call the super version (on {@link Item}) to get the glint for enchanted items. Of course, that is unnecessary if the overwritten version always returns true."
func_77631_c,setPotionEffect,0,Sets the string representing this item's effect on a potion when used as an ingredient.
func_77616_k,isItemTool,0,Checks isDamagable and if it cannot be stacked
func_77662_d,isFull3D,0,Returns True is the item is renderer in full 3D when hold.
func_77656_e,setMaxDamage,0,set max damage of an Item
func_77613_e,getRarity,0,Return an item rarity from EnumRarity
func_111206_d,setTextureName,0,"Tries to get an Item by it's name (e.g. minecraft:apple) or a String representation of a numerical ID. If both fail, null is returned."
func_77629_n_,shouldRotateAroundWhenRendering,0,Returns true if this item should be rotated by 180 degrees around the Y axis when being held in an entities hands.
func_77643_m_,isMap,0,false for all Items except sub-classes of ItemMapBase
func_150896_i,getPotionEffect,0,Returns a string representing what this item does to a potion.
func_77650_f,getIconIndex,0,Returns the icon index of the stack given as argument.
func_111205_h,getItemAttributeModifiers,0,"Gets a map of item attribute modifiers, used by ItemSword to increase hit damage."
func_77657_g,getUnlocalizedNameInefficiently,0,"Translates the unlocalized name of this item, but without the .name suffix, so the translation fails and the unlocalized name itself is returned."
func_150900_l,registerItems,0,This is the main method in the Item class. Both Items and BlockItems get registered here.\nThe Item Ids starts from 256. The fields in the class Items can not be accessed before this method is called.\n@see net.minecraft.item.Items
func_77630_h,doesContainerItemLeaveCraftingGrid,0,"If this returns true, after a recipe involving this item is crafted the container item will be added to the player's inventory instead of remaining in the crafting grid."
func_77639_j,getItemStackLimit,0,Returns the maximum size of the stack for a specific item.
func_150892_m,isPotionIngredient,0,Returns true if this item serves as a potion ingredient (its ingredient information is not null).
func_77614_k,getHasSubtypes,0,Returns whether the item is unbreakable\n@return Whether the item is unbreakable
func_77653_i,getItemStackDisplayName,0,
func_77640_w,getCreativeTab,0,gets the CreativeTab this item is displayed on
func_77612_l,getMaxDamage,0,Returns the maximum damage an item can take.
func_77645_m,isDamageable,0,"Returns whether the current item is damageable. Used by tools, armor, bows, etc.\n@see net.minecraft.item.ToolItem\n@see net.minecraft.item.BowItem\n@see net.minecraft.item.ArmorItem"
func_77664_n,setFull3D,0,Sets bFull3D to True and return the object.
func_77651_p,getShareTag,0,"If this function returns true (or the item is damageable), the ItemStack's NBT tag will be sent to the client."
func_77668_q,getContainerItem,0,Returns the current Item's recipe remainder\n@return recipeRemainder
func_77634_r,hasContainerItem,0,True if this Item has a container item (a.k.a. crafting result)
func_82788_x,canItemEditBlocks,0,"Returns true if players can use this item to affect the world (e.g. placing blocks, placing ender eyes in portal) when not in creative"
func_111208_A,getIconString,0,Returns the string associated with this Item's Icon.
func_150943_a,setSubtypeNames,0,
func_150976_a,getItemDamage,0,Gets the item damage value on an ItemStack that represents this fish type
func_150974_a,getFishTypeForItemDamage,0,"Gets the corresponding FishType value for the given item damage value of an ItemStack, defaulting to COD for unrecognized damage values."
func_150978_a,getFishTypeForItemStack,0,"Gets the FishType that corresponds to the given ItemStack, defaulting to COD if the given ItemStack does not actually contain a fish."
func_150968_a,registerIcon,0,Registers the icon for this fish type in the given IIconRegister.
func_150972_b,getUnlocalizedNamePart,0,Gets the value that this fish type uses to replace ""XYZ"" in: ""fish.XYZ.raw"" / ""fish.XYZ.cooked"" for the unlocalized name and ""fish_XYZ_raw"" / ""fish_XYZ_cooked"" for the icon string.
func_150975_c,getUncookedHealAmount,0,Gets the amount that eating the uncooked version of this fish should heal the player.
func_150967_d,getUncookedSaturationModifier,0,Gets the saturation modifier to apply to the heal amount when the player eats the uncooked version of this fish.
func_150970_e,getCookedHealAmount,0,Gets the amount that eating the cooked version of this fish should heal the player.
func_150977_f,getCookedSaturationModifier,0,Gets the saturation modifier to apply to the heal amount when the player eats the cooked version of this fish.
func_150971_g,getUncookedIcon,0,Gets the icon for the uncooked version of this fish.
func_150979_h,getCookedIcon,0,Gets the icon for the cooked version of this fish.
func_150973_i,getCookable,0,Gets a value indicating whether this type of fish has ""raw"" and ""cooked"" variants.
func_145969_a,openChest,0,
func_145971_a,canBeUsed,0,
func_145970_b,closeChest,0,
func_146019_a,addItemStack,0,Add the given ItemStack to this Dispenser. Return the Slot the Item was placed in or -1 if no free slot is available.
func_146018_a,setCustomName,0,
func_146017_i,getDispenseSlot,0,
func_145914_a,getIsEditable,0,
func_145912_a,setPlayer,0,
func_145913_a,setEditable,0,Sets the sign's isEditable flag to the specified parameter.
func_145911_b,getPlayer,0,
func_145861_a,getStoredBlockID,0,
func_145860_a,getProgress,0,Get interpolated progress value (between lastProgress and progress) given the fractional time between ticks as an argument
func_145863_a,launchWithSlimeBlock,0,
func_145868_b,isExtending,0,Returns true if a piston is extending
func_145865_b,getRenderOffsetX,0,
func_145864_c,getPistonOrientation,0,
func_145862_c,getRenderOffsetY,0,
func_145867_d,shouldPistonHeadBeRendered,0,
func_145859_d,getRenderOffsetZ,0,
func_145866_f,clearPistonTileEntity,0,"removes a piston's tile entity (and if the piston is moving, stops it)"
func_145894_a,canCombine,0,
func_145897_a,getItems,0,
func_145891_a,captureDroppedItems,0,Pull dropped {@link net.minecraft.entity.item.EntityItem EntityItem}s from the world above the hopper and items from any inventory attached to this hopper into the hopper's inventory.\n\n@param hopper the hopper in question\n@return whether any items were successfully added to the hopper
func_145892_a,pullItems,0,
func_145886_a,setCustomName,0,
func_152102_a,isFullInventory,0,
func_145889_a,pushItems,0,
func_145885_a,canPushItems,0,
func_145898_a,putDropInInventoryAllSlots,0,Attempts to place the passed EntityItem's stack into the inventory using as many slots as possible. Returns false if the stackSize of the drop was not depleted.
func_145893_b,getInventoryAtPosition,0,Returns the IInventory (if applicable) of the TileEntity at the specified position
func_145884_b,getHopperInventory,0,Returns the IInventory for the specified hopper
func_152103_b,isEmptyInventory,0,
func_145890_b,canPullItems,0,
func_145896_c,setTransferCooldown,0,
func_145899_c,pushItems,0,
func_145887_i,updateHopper,0,
func_145888_j,isOnTransferCooldown,0,
func_152104_k,isEmpty,0,
func_152105_l,isFull,0,
func_145883_k,transferItemsOut,0,
func_145895_l,getInventoryForHopperTransfer,0,Returns the IInventory that this hopper is pointing into
func_145835_a,getDistanceFrom,0,Returns the square of the distance between this entity and the passed in coordinates.
func_145834_a,setWorldObj,0,Sets the worldObj for this tileEntity.
func_145839_a,readFromNBT,0,
func_145826_a,addMapping,0,Adds a new two-way mapping between the class and its string name in both hashmaps.
func_145828_a,addInfoToCrashReport,0,
func_145841_b,writeToNBT,0,
func_145842_c,receiveClientEvent,0,"Called when a client event is received with the event number and argument, see World.sendClientEvent"
func_145827_c,createAndLoadEntity,0,Creates a new entity and loads its data from the specified NBT.
func_70296_d,markDirty,0,"For tile entities, ensures the chunk containing the tile entity is saved to disk later - the game won't think it hasn't changed and skip it."
func_145845_h,updateEntity,0,
func_145844_m,getDescriptionPacket,0,Overriden in a sign to provide the text.
func_145833_n,getMaxRenderDistanceSquared,0,
func_145830_o,hasWorldObj,0,Returns true if the worldObj isn't null.
func_145832_p,getBlockMetadata,0,
func_145838_q,getBlockType,0,Gets the block type at the location of this entity (client-only).
func_145837_r,isInvalid,0,"returns true if tile entity is invalid, false otherwise"
func_145843_s,invalidate,0,invalidates a tile entity
func_145829_t,validate,0,validates a tile entity
func_145836_u,updateContainingBlockInfo,0,"Causes the TileEntity to reset all it's cached values for it's container Block, metadata and in the case of chests, the adjacent chest check"
func_145831_w,getWorldObj,0,Returns the worldObj for this tileEntity.
func_145937_a,setName,0,
func_145936_c,getPotionResult,0,The result of brewing a potion of the specified damage value with an ingredient itemstack.
func_145938_d,setBrewTime,0,
func_145935_i,getBrewTime,0,
func_145939_j,getFilledSlots,0,Returns an integer with each bit specifying whether that slot of the stand contains a potion
func_145934_k,canBrew,0,
func_145940_l,brewPotions,0,
func_145965_a,getFlowerPotItem,0,
func_145964_a,setFlowerPotData,0,
func_145966_b,getFlowerPotData,0,
func_145877_a,changePitch,0,change pitch by -> (currentPitch + 1) % 25
func_145878_a,triggerNote,0,plays the stored note
func_98271_a,getSpawnerWorld,0,
func_98267_a,broadcastEvent,0,
func_98277_a,setRandomEntity,0,
func_98270_a,readFromNBT,0,
func_98272_a,setEntityName,0,
func_98265_a,spawnEntity,0,
func_98275_b,getSpawnerX,0,
func_98268_b,setDelayToMin,0,"Sets the delay to minDelay if parameter given is 1, else return false."
func_98280_b,writeToNBT,0,
func_98274_c,getSpawnerY,0,
func_98266_d,getSpawnerZ,0,
func_98276_e,getEntityNameToSpawn,0,Gets the entity name that should be spawned.
func_98279_f,isActivated,0,Returns true if there's a player close enough to this mob spawner to activate it.
func_98278_g,updateSpawner,0,
func_98281_h,getEntityToRender,0,Returns the entity to render inside the spawner. The instance is only created once and then cached.
func_98269_i,getRandomEntity,0,
func_98273_j,resetTimer,0,
func_152108_a,getPlayerProfile,0,
func_152107_a,setType,0,
func_152106_a,setPlayerProfile,0,
func_145904_a,getSkullType,0,
func_145903_a,setSkullRotation,0,
func_145906_b,getSkullRotation,0,
func_152109_d,updatePlayerProfile,0,
func_145919_a,getCustomName,0,
func_145920_a,setCustomName,0,
func_145921_b,hasCustomName,0,
func_145881_a,getSpawnerBaseLogic,0,
func_145993_a,getCommandBlockLogic,0,
func_98220_a,toNBT,0,
func_145996_a,getOutputSignal,0,
func_145995_a,setOutputSignal,0,
func_145999_a,setName,0,
func_146005_c,setLevels,0,
func_146001_d,setPrimaryEffect,0,
func_146004_e,setSecondaryEffect,0,
func_146002_i,shouldBeamRender,0,
func_146007_j,getPrimaryEffect,0,Return the primary potion effect given by this beacon.
func_146006_k,getSecondaryEffect,0,Return the secondary potion effect given by this beacon.
func_145998_l,getLevels,0,Return the levels of this beacon's pyramid.
func_146000_x,addEffectsToPlayers,0,
func_146003_y,updateSegmentColors,0,
func_96109_aB,getYPos,0,Gets the world Y position for this hopper entity.
func_96108_aC,getZPos,0,Gets the world Z position for this hopper entity.
func_96107_aA,getXPos,0,Gets the world X position for this hopper entity.
func_145952_a,getItemBurnTime,0,"Returns the number of ticks that the supplied fuel item will keep the furnace burning, or 0 if the item isn't fuel"
func_145951_a,setCustomInventoryName,0,
func_145954_b,isItemFuel,0,
func_145953_d,getCookProgressScaled,0,Returns an integer between 0 and the passed value representing how close the current item is to being completely cooked
func_145955_e,getBurnTimeRemainingScaled,0,"Returns an integer between 0 and the passed value representing how much burn time is left on the current fuel item, where 0 means that the item is exhausted and the passed value means that the item is fresh"
func_145950_i,isBurning,0,Furnace isBurning
func_145949_j,smeltItem,0,Turn one item from the furnace source stack into the appropriate smelted item in the furnace result stack
func_145948_k,canSmelt,0,"Returns true if the furnace can smelt an item, i.e. has a source item, destination stack isn't full, etc."
func_145977_a,isSameTypeChestAt,0,"Test if the block is a chest, with the same type (normal, trapped, ...)"
func_145978_a,combineWithNeighbor,0,
func_145976_a,setCustomName,0,
func_145979_i,checkForAdjacentChests,0,Performs the check for adjacent chests to determine if this chest is double or not.
func_145980_j,getChestType,0,
func_85089_a,getKey,0,
func_85090_b,getValue,0,
func_71501_a,getDescription,0,Returns the description of the Crash Report.
func_147149_a,saveToFile,0,Saves this CrashReport to the given file and returns a value indicating whether we were successful at doing so.
func_85058_a,makeCategory,0,Creates a CrashReportCategory
func_85057_a,makeCategoryDepth,0,Creates a CrashReportCategory for the given stack trace depth
